iteration,method,prediction,true_value,squared_error
0,linear,12.0,,
1,linear,1.0,,
2,linear,7.0,,
3,linear,2.0,,
4,linear,8.0,,
5,linear,8.0,,
6,linear,1.0,,
0,rf,11.0,,
1,rf,1.0,,
2,rf,5.0,,
3,rf,2.0,,
4,rf,5.0,,
5,rf,7.0,,
6,rf,1.0,,
0,xgb,8.999482154846191,,
1,xgb,1.0,,
2,xgb,3.0009655952453613,,
3,xgb,2.0,,
4,xgb,3.999660015106201,,
5,xgb,5.998836517333984,,
6,xgb,1.0,,
