archivo,mejor_radio,area,filled_volume,num_atm
outputs.dump/key_area_5.dump,7,11.521351992899916,81.12440825747372,14
outputs.dump/key_area_6.dump,5,11.521351992606569,81.12440825381256,14
outputs.dump/key_area_7.dump,5,11.521374347949033,81.12460481646835,14
outputs.dump/key_area_8.dump,4,11.521329637849846,81.12421142487412,14
outputs.dump/key_area_9.dump,3,11.521351992606556,81.1244081776501,14
outputs.dump/key_area_10.dump,5,11.521374347949212,81.12460489739313,14
outputs.dump/key_area_11.dump,5,11.52135199289942,81.12440806190125,14
outputs.dump/key_area_12.dump,5,11.521284928682162,81.1236211895036,14
outputs.dump/key_area_13.dump,4,11.52121786490415,81.12283415348504,14
outputs.dump/key_area_14.dump,9,11.52121786490416,81.12283415243434,14
outputs.dump/key_area_1.dump.0,4,11.521396703023207,81.12480155659095,14
outputs.dump/key_area_1.dump.1,7,11.521374347949212,81.12460482472498,14
outputs.dump/key_area_2.dump.0,3,11.521351992899431,81.12440813635978,14
outputs.dump/key_area_2.dump.1,9,11.52137434794905,81.12460502472614,14
outputs.dump/key_area_3.dump.0,3,11.521150801126078,81.12204738268302,14
outputs.dump/key_area_3.dump.1,8,11.521351992606574,81.12440803899321,14
outputs.dump/key_area_4.dump.0,9,11.521083737787238,81.12126006628279,14
outputs.dump/key_area_4.dump.1,3,11.5213519928994,81.12440821736284,14
