iteration,method,prediction,true_value,squared_error
0,linear,1.0,,
1,linear,1.0,,
2,linear,1.0,,
3,linear,1.0,,
4,linear,1.0,,
5,linear,1.0,,
6,linear,1.0,,
7,linear,1.0,,
8,linear,1.0,,
9,linear,1.0,,
10,linear,1.0,,
11,linear,1.0,,
12,linear,1.0,,
13,linear,1.0,,
14,linear,1.0,,
15,linear,1.0,,
16,linear,1.0,,
17,linear,1.0,,
18,linear,1.0,,
19,linear,1.0,,
20,linear,1.0,,
21,linear,1.0,,
22,linear,1.0,,
23,linear,1.0,,
24,linear,1.0,,
25,linear,1.0,,
26,linear,1.0,,
27,linear,1.0,,
28,linear,1.0,,
29,linear,1.0,,
30,linear,1.0,,
31,linear,1.0,,
32,linear,1.0,,
33,linear,1.0,,
34,linear,1.0,,
35,linear,1.0,,
36,linear,1.0,,
37,linear,1.0,,
38,linear,1.0,,
39,linear,1.0,,
40,linear,1.0,,
41,linear,1.0,,
42,linear,1.0,,
43,linear,1.0,,
44,linear,1.0,,
45,linear,1.0,,
46,linear,1.0,,
47,linear,1.0,,
48,linear,1.0,,
49,linear,1.0,,
50,linear,1.0,,
51,linear,1.0,,
52,linear,1.0,,
53,linear,1.0,,
54,linear,1.0,,
55,linear,1.0,,
56,linear,1.0,,
57,linear,1.0,,
58,linear,1.0,,
59,linear,1.0,,
60,linear,1.0,,
61,linear,1.0,,
62,linear,1.0,,
63,linear,1.0,,
64,linear,1.0,,
65,linear,1.0,,
66,linear,1.0,,
67,linear,1.0,,
68,linear,1.0,,
69,linear,1.0,,
70,linear,1.0,,
71,linear,1.0,,
72,linear,1.0,,
73,linear,1.0,,
74,linear,1.0,,
75,linear,1.0,,
76,linear,1.0,,
77,linear,1.0,,
78,linear,1.0,,
79,linear,1.0,,
80,linear,1.0,,
81,linear,1.0,,
82,linear,1.0,,
83,linear,1.0,,
84,linear,1.0,,
85,linear,1.0,,
86,linear,1.0,,
87,linear,1.0,,
88,linear,1.0,,
89,linear,1.0,,
90,linear,1.0,,
91,linear,1.0,,
92,linear,1.0,,
93,linear,1.0,,
94,linear,1.0,,
95,linear,1.0,,
96,linear,1.0,,
97,linear,1.0,,
98,linear,1.0,,
99,linear,1.0,,
100,linear,1.0,,
101,linear,1.0,,
102,linear,1.0,,
103,linear,1.0,,
104,linear,1.0,,
105,linear,1.0,,
106,linear,1.0,,
107,linear,1.0,,
108,linear,1.0,,
109,linear,1.0,,
110,linear,1.0,,
111,linear,1.0,,
112,linear,1.0,,
113,linear,1.0,,
114,linear,1.0,,
115,linear,1.0,,
116,linear,1.0,,
117,linear,1.0,,
118,linear,1.0,,
119,linear,1.0,,
120,linear,1.0,,
121,linear,1.0,,
122,linear,1.0,,
123,linear,1.0,,
124,linear,1.0,,
125,linear,1.0,,
126,linear,1.0,,
127,linear,1.0,,
128,linear,1.0,,
129,linear,1.0,,
130,linear,1.0,,
131,linear,1.0,,
132,linear,1.0,,
133,linear,1.0,,
134,linear,1.0,,
135,linear,1.0,,
136,linear,1.0,,
137,linear,1.0,,
138,linear,1.0,,
139,linear,1.0,,
140,linear,1.0,,
141,linear,1.0,,
142,linear,1.0,,
143,linear,1.0,,
144,linear,1.0,,
145,linear,1.0,,
146,linear,1.0,,
147,linear,1.0,,
148,linear,1.0,,
149,linear,1.0,,
150,linear,1.0,,
151,linear,1.0,,
152,linear,1.0,,
153,linear,1.0,,
154,linear,1.0,,
155,linear,1.0,,
156,linear,1.0,,
157,linear,1.0,,
158,linear,1.0,,
159,linear,1.0,,
160,linear,1.0,,
161,linear,1.0,,
162,linear,1.0,,
163,linear,1.0,,
164,linear,1.0,,
165,linear,1.0,,
166,linear,1.0,,
167,linear,1.0,,
168,linear,1.0,,
169,linear,1.0,,
170,linear,1.0,,
171,linear,1.0,,
172,linear,1.0,,
173,linear,1.0,,
174,linear,1.0,,
175,linear,1.0,,
176,linear,1.0,,
177,linear,1.0,,
178,linear,1.0,,
179,linear,1.0,,
180,linear,1.0,,
181,linear,1.0,,
182,linear,1.0,,
183,linear,1.0,,
184,linear,1.0,,
185,linear,1.0,,
186,linear,1.0,,
187,linear,1.0,,
188,linear,1.0,,
189,linear,1.0,,
190,linear,1.0,,
191,linear,1.0,,
192,linear,1.0,,
193,linear,1.0,,
194,linear,1.0,,
195,linear,1.0,,
196,linear,1.0,,
197,linear,1.0,,
198,linear,1.0,,
199,linear,1.0,,
200,linear,1.0,,
201,linear,1.0,,
202,linear,1.0,,
203,linear,1.0,,
204,linear,1.0,,
205,linear,1.0,,
206,linear,1.0,,
207,linear,1.0,,
208,linear,1.0,,
209,linear,1.0,,
210,linear,1.0,,
211,linear,1.0,,
212,linear,1.0,,
213,linear,1.0,,
214,linear,1.0,,
215,linear,1.0,,
216,linear,1.0,,
217,linear,1.0,,
218,linear,1.0,,
219,linear,1.0,,
220,linear,1.0,,
221,linear,1.0,,
222,linear,1.0,,
223,linear,1.0,,
224,linear,1.0,,
225,linear,1.0,,
226,linear,1.0,,
227,linear,1.0,,
228,linear,1.0,,
229,linear,1.0,,
230,linear,1.0,,
231,linear,1.0,,
232,linear,1.0,,
233,linear,1.0,,
234,linear,1.0,,
235,linear,1.0,,
236,linear,1.0,,
237,linear,1.0,,
238,linear,1.0,,
239,linear,1.0,,
240,linear,1.0,,
241,linear,1.0,,
242,linear,1.0,,
243,linear,1.0,,
244,linear,1.0,,
245,linear,1.0,,
246,linear,1.0,,
247,linear,1.0,,
248,linear,1.0,,
249,linear,1.0,,
0,rf,1.0,,
1,rf,1.0,,
2,rf,1.0,,
3,rf,1.0,,
4,rf,1.0,,
5,rf,1.0,,
6,rf,1.0,,
7,rf,1.0,,
8,rf,1.0,,
9,rf,1.0,,
10,rf,1.0,,
11,rf,1.0,,
12,rf,1.0,,
13,rf,1.0,,
14,rf,1.0,,
15,rf,1.0,,
16,rf,1.0,,
17,rf,1.0,,
18,rf,1.0,,
19,rf,1.0,,
20,rf,1.0,,
21,rf,1.0,,
22,rf,1.0,,
23,rf,1.0,,
24,rf,1.0,,
25,rf,1.0,,
26,rf,1.0,,
27,rf,1.0,,
28,rf,1.0,,
29,rf,1.0,,
30,rf,1.0,,
31,rf,1.0,,
32,rf,1.0,,
33,rf,1.0,,
34,rf,1.0,,
35,rf,1.0,,
36,rf,1.0,,
37,rf,1.0,,
38,rf,1.0,,
39,rf,1.0,,
40,rf,1.0,,
41,rf,1.0,,
42,rf,1.0,,
43,rf,1.0,,
44,rf,1.0,,
45,rf,1.0,,
46,rf,1.0,,
47,rf,1.0,,
48,rf,1.0,,
49,rf,1.0,,
50,rf,1.0,,
51,rf,1.0,,
52,rf,1.0,,
53,rf,1.0,,
54,rf,1.0,,
55,rf,1.0,,
56,rf,1.0,,
57,rf,1.0,,
58,rf,1.0,,
59,rf,1.0,,
60,rf,1.0,,
61,rf,1.0,,
62,rf,1.0,,
63,rf,1.0,,
64,rf,1.0,,
65,rf,1.0,,
66,rf,1.0,,
67,rf,1.0,,
68,rf,1.0,,
69,rf,1.0,,
70,rf,1.0,,
71,rf,1.0,,
72,rf,1.0,,
73,rf,1.0,,
74,rf,1.0,,
75,rf,1.0,,
76,rf,1.0,,
77,rf,1.0,,
78,rf,1.0,,
79,rf,1.0,,
80,rf,1.0,,
81,rf,1.0,,
82,rf,1.0,,
83,rf,1.0,,
84,rf,1.0,,
85,rf,1.0,,
86,rf,1.0,,
87,rf,1.0,,
88,rf,1.0,,
89,rf,1.0,,
90,rf,1.0,,
91,rf,1.0,,
92,rf,1.0,,
93,rf,1.0,,
94,rf,1.0,,
95,rf,1.0,,
96,rf,1.0,,
97,rf,1.0,,
98,rf,1.0,,
99,rf,1.0,,
100,rf,1.0,,
101,rf,1.0,,
102,rf,1.0,,
103,rf,1.0,,
104,rf,1.0,,
105,rf,1.0,,
106,rf,1.0,,
107,rf,1.0,,
108,rf,1.0,,
109,rf,1.0,,
110,rf,1.0,,
111,rf,1.0,,
112,rf,1.0,,
113,rf,1.0,,
114,rf,1.0,,
115,rf,1.0,,
116,rf,1.0,,
117,rf,1.0,,
118,rf,1.0,,
119,rf,1.0,,
120,rf,1.0,,
121,rf,1.0,,
122,rf,1.0,,
123,rf,1.0,,
124,rf,1.0,,
125,rf,1.0,,
126,rf,1.0,,
127,rf,1.0,,
128,rf,1.0,,
129,rf,1.0,,
130,rf,1.0,,
131,rf,1.0,,
132,rf,1.0,,
133,rf,1.0,,
134,rf,1.0,,
135,rf,1.0,,
136,rf,1.0,,
137,rf,1.0,,
138,rf,1.0,,
139,rf,1.0,,
140,rf,1.0,,
141,rf,1.0,,
142,rf,1.0,,
143,rf,1.0,,
144,rf,1.0,,
145,rf,1.0,,
146,rf,1.0,,
147,rf,1.0,,
148,rf,1.0,,
149,rf,1.0,,
150,rf,1.0,,
151,rf,1.0,,
152,rf,1.0,,
153,rf,1.0,,
154,rf,1.0,,
155,rf,1.0,,
156,rf,1.0,,
157,rf,1.0,,
158,rf,1.0,,
159,rf,1.0,,
160,rf,1.0,,
161,rf,1.0,,
162,rf,1.0,,
163,rf,1.0,,
164,rf,1.0,,
165,rf,1.0,,
166,rf,1.0,,
167,rf,1.0,,
168,rf,1.0,,
169,rf,1.0,,
170,rf,1.0,,
171,rf,1.0,,
172,rf,1.0,,
173,rf,1.0,,
174,rf,1.0,,
175,rf,1.0,,
176,rf,1.0,,
177,rf,1.0,,
178,rf,1.0,,
179,rf,1.0,,
180,rf,1.0,,
181,rf,1.0,,
182,rf,1.0,,
183,rf,1.0,,
184,rf,1.0,,
185,rf,1.0,,
186,rf,1.0,,
187,rf,1.0,,
188,rf,1.0,,
189,rf,1.0,,
190,rf,1.0,,
191,rf,1.0,,
192,rf,1.0,,
193,rf,1.0,,
194,rf,1.0,,
195,rf,1.0,,
196,rf,1.0,,
197,rf,1.0,,
198,rf,1.0,,
199,rf,1.0,,
200,rf,1.0,,
201,rf,1.0,,
202,rf,1.0,,
203,rf,1.0,,
204,rf,1.0,,
205,rf,1.0,,
206,rf,1.0,,
207,rf,1.0,,
208,rf,1.0,,
209,rf,1.0,,
210,rf,1.0,,
211,rf,1.0,,
212,rf,1.0,,
213,rf,1.0,,
214,rf,1.0,,
215,rf,1.0,,
216,rf,1.0,,
217,rf,1.0,,
218,rf,1.0,,
219,rf,1.0,,
220,rf,1.0,,
221,rf,1.0,,
222,rf,1.0,,
223,rf,1.0,,
224,rf,1.0,,
225,rf,1.0,,
226,rf,1.0,,
227,rf,1.0,,
228,rf,1.0,,
229,rf,1.0,,
230,rf,1.0,,
231,rf,1.0,,
232,rf,1.0,,
233,rf,1.0,,
234,rf,1.0,,
235,rf,1.0,,
236,rf,1.0,,
237,rf,1.0,,
238,rf,1.0,,
239,rf,1.0,,
240,rf,1.0,,
241,rf,1.0,,
242,rf,1.0,,
243,rf,1.0,,
244,rf,1.0,,
245,rf,1.0,,
246,rf,1.0,,
247,rf,1.0,,
248,rf,1.0,,
249,rf,1.0,,
0,xgb,1.0001463890075684,,
